Gene	time-40	time-50	time-60	time-70
YDR002W	0.755	0.71	0.39499998	0.08
YDR003W	-0.024999999	-0.06	-0.04	-0.02
YDR005C	-0.26999998	-0.32	-0.605	-0.89
YDR006C	-0.17	-0.17	0.43499997	1.04
YDR007W	-0.105	-0.35	-0.385	-0.42
YDR008C	0.21000001	0.34	0.435	0.53
YDR009W	-0.035000004	-0.28	-0.31	-0.34
YDR012W	-0.275	-0.05	0.145	0.34
YDR013W	0.030000009	-0.21	-0.785	-1.36
YDR014W	-0.24	-0.19	0.114999995	0.42
YDR016C	-0.04500001	0.24	0.37	0.5
YDR018C	-0.35	-0.45	-0.034999996	0.38
YDR019C	-0.225	-0.45	-0.47	-0.49
YDR020C	0.08	0.04	0.315	0.59
YDR021W	-0.045	-0.46	-0.35500002	-0.25
YDR023W	0.33	0.43	0.345	0.26
YDR024W	0.26500002	0.2	0.15	0.1
YDR025W	0.024999999	0.14	-0.12499999	-0.39
YDR026C	-0.065	-0.32	-0.39499998	-0.47
YDR027C	-0.034999996	-0.25	-0.115	0.02
YDR029W	-0.024999999	0.16	0.175	0.19
YDR030C	-0.13499999	0.02	0.695	1.37
YDR031W	0.045	-0.18	-0.245	-0.31
YDR032C	-0.085	-0.12	-0.044999998	0.03
YDR033W	-2.28	-3.25	-2.28	-1.31
YDR035W	-0.14	-0.35	-0.07	0.21
YDR036C	-0.22999999	-0.17	0.42499998	1.02
YDR037W	-0.029999986	-0.53	-0.23999998	0.05
YDR038C	-0.025	-0.11	0.745	1.6
YDR039C	-0.16	-0.13	0.17	0.47
YDR040C	-0.265	-0.18	0.55999994	1.3
YDR041W	-0.265	-0.37	-0.29	-0.21
YDR043C	-0.45999998	-0.48	-0.375	-0.27
YDR044W	0.68	0.6	0.54	0.48
YDR045C	0.505	0.39	0.06999999	-0.25
YDR046C	0.045	-0.16	-0.18	-0.2
YDR047W	-0.33499998	-1	-0.515	-0.03
YDR048C	0.325	0.09	0.055	0.02
YDR049W	-0.12499999	-0.45	-0.435	-0.42
YDR050C	-1.1949999	-1.09	-0.59000003	-0.09
YDR051C	0.35	0.22	-0.049999997	-0.32
YDR052C	-0.695	-0.71	-0.585	-0.46
YDR053W	0.67	0.62	0.39	0.16
YDR054C	0.525	0.31	0.4	0.49
YDR055W	0.745	-0.08	-0.215	-0.35
YDR056C	0.53	0.22	0.215	0.21
YDR057W	0.044999987	-0.3	-0.16000001	-0.02
YDR058C	0.105	-0.05	-0.18	-0.31
YDR059C	-0.305	-0.41	-0.26	-0.11
YDR060W	0.019999996	-0.22	0.5	1.22
YDR061W	-0.37	-0.44	0.13	0.7
YDR062W	0.04	0.12	0.375	0.63
YDR063W	-0.035	-0.05	0.21499999	0.48
YDR064W	-0.105000004	-0.01	0.245	0.5
YDR065W	-0.054999992	-0.42	-0.255	-0.09
YDR067C	0.31	0.2	-0.050000004	-0.3
YDR069C	-0.13	-0.35	-0.42000002	-0.49
YDR071C	0.405	0.3	0.060000002	-0.18
YDR072C	-0.365	-0.24	-0.08	0.08
YDR073W	0.155	0.15	0.060000002	-0.03
YDR074W	-0.675	-0.63	-0.39	-0.15
YDR075W	0.38	0.29	0.065	-0.16
YDR076W	0.14	-0.09	-0.245	-0.4
YDR077W	-1.005	-1.15	-0.96	-0.77
YDR079W	-0.14500001	-0.2	-0.505	-0.81
YDR080W	-0.725	-0.64	-0.43	-0.22
YDR081C	0.22	0.13	-0.025000006	-0.18
YDR083W	0.87	0.73	0.28	-0.17
YDR084C	-0.105	-0.05	0.07	0.19
YDR085C	0.14500001	-0.08	-0.325	-0.57
YDR086C	0.38	0.23	0.13	0.03
YDR087C	0.755	0.64	0.26999998	-0.1
YDR088C	0.53	0.59	0.255	-0.08
YDR089W	-0.855	-0.72	-0.425	-0.13
YDR090C	-0.515	-0.35	-0.16499999	0.02
YDR091C	-0.024999999	-0.14	0.020000003	0.18
YDR092W	-0.030000001	0.11	-0.024999999	-0.16
YDR093W	-0.14	0.01	-0.17	-0.35
YDR094W	-0.15	0.06	0.215	0.37
YDR095C	-0.06	-0.19	-0.21000001	-0.23
YDR096W	-0.275	-0.47	-0.47	-0.47
YDR097C	1.4300001	1.57	0.64500004	-0.28
YDR098C	0.22	0.34	0.18	0.02
YDR099W	-0.635	-0.51	-0.325	-0.14
YDR100W	-0.43	-0.44	-0.35500002	-0.27
YDR101C	0.755	0.47	0.35	0.23
YDR103W	0.005000003	-0.22	-0.185	-0.15
YDR104C	0.24000001	0.17	-0.024999999	-0.22
YDR105C	-0.43	-0.14	-0.16499999	-0.19
YDR107C	-0.255	-0.13	-0.355	-0.58
YDR108W	0.385	0.47	0.225	-0.02
YDR109C	0.1	0.28	-0.034999996	-0.35
YDR111C	0.86	1.04	0.655	0.27
YDR112W	0.97	1.11	0.83000004	0.55
YDR113C	0.72999996	1.4	1.035	0.67
YDR114C	0.049999997	0.06	-0.08	-0.22
YDR115W	-0.33	-0.33	-0.425	-0.52
YDR116C	-0.475	-0.63	-0.59000003	-0.55
YDR117C	0.185	0.29	0.105	-0.08
YDR118W	0.07	0.07	-0.14	-0.35
YDR119W	-0.14	-0.16	-0.19999999	-0.24
YDR120C	0.42	0.2	0.11	0.02
YDR121W	0.36	0.36	-0.00999999	-0.38
YDR122W	0.044999998	0.01	-0.205	-0.42
YDR124W	0.35500002	0.34	-0.004999995	-0.35
YDR125C	0.07	0.02	-0.29000002	-0.6
YDR126W	0.39000002	0.24	0.11	-0.02
YDR127W	-0.095	-0.06	-0.085	-0.11
YDR128W	-0.01	0.02	0.04	0.06
YDR130C	0.26	0.7	0.67499995	0.65
YDR131C	-0.035	-0.17	-0.44	-0.71
YDR133C	-0.35	-0.21	-0.13499999	-0.06
YDR134C	-0.525	-0.39	-0.12499999	0.14
YDR135C	-0.2	-0.25	-0.185	-0.12
YDR137W	0.39	0.46	0.08	-0.3
YDR138W	-0.029999997	-0.13	-0.24	-0.35
YDR139C	0.29	0.17	-0.005000003	-0.18
YDR140W	-0.005000001	0.06	0.049999997	0.04
YDR141C	0.29500002	0.31	0.085	-0.14
YDR142C	0.015000001	-0.07	0.010000002	0.09
YDR143C	0.265	0.09	0.095	0.1
YDR144C	0.09	0.09	0.025000002	-0.04
YDR145W	0.21000001	0.18	0.11	0.04
YDR146C	-1.215	-1.46	-0.65000004	0.16
YDR147W	0.29000002	0.36	0.305	0.25
YDR148C	-0.59	-0.47	-0.29	-0.11
YDR150W	-0.16000001	-0.05	0.115	0.28
YDR151C	-0.1	-0.22	-0.40499997	-0.59
YDR152W	0.625	0.61	0.3	-0.01
YDR153C	0.435	0.52	0.24999999	-0.02
YDR154C	-0.17	-0.19	-0.18	-0.17
YDR155C	-0.29000002	-0.27	-0.28	-0.29
YDR156W	0.48499998	0.2	0.095	-0.01
YDR157W	0.335	-0.03	-0.575	-1.12
YDR158W	-0.61	-0.46	-0.155	0.15
YDR159W	0.14	0.04	-0.135	-0.31
YDR160W	0.2	0.07	-0.044999998	-0.16
YDR161W	0.725	0.66	0.18500002	-0.29
YDR162C	0.385	0.39	0.17999999	-0.03
YDR163W	0.32	0.29	0.125	-0.04
YDR164C	0.29	0.24	0.065	-0.11
YDR165W	0.55	0.36	0.125	-0.11
YDR166C	-0.37	-0.31	-0.11	0.09
YDR167W	0.27	0.3	0.060000002	-0.18
YDR168W	-0.01	-0.04	-0.049999997	-0.06
YDR169C	0.035	0.04	-0.04	-0.12
YDR170C	0.035	0.1	0.32500002	0.55
YDR171W	-0.69500005	-0.67	-0.675	-0.68
YDR172W	0.555	0.49	0.405	0.32
YDR173C	-0.08	-0.06	-0.19500001	-0.33
YDR174W	-0.3	-0.2	0.29500002	0.79
YDR175C	-0.24000001	-0.27	-0.22500001	-0.18
YDR176W	0.215	0.29	0.24	0.19
YDR177W	0.28500003	0.27	0.125	-0.02
YDR178W	-0.78499997	-0.67	-0.27	0.13
YDR179W-A	0.165	0.23	0.33	0.43
YDR180W	0.31	0.04	-0.11	-0.26
YDR181C	0.435	0.55	0.24000001	-0.07
YDR182W	0.11	0.24	0.32999998	0.42
YDR184C	0.81500006	0.43	0.255	0.08
YDR185C	-0.120000005	0.09	-0.095	-0.28
YDR186C	0.45499998	0.21	0.059999995	-0.09
YDR187C	0.24	0.22	0.235	0.25
YDR188W	0.22	0.17	0.18	0.19
YDR189W	0.32	0.39	0.305	0.22
YDR190C	0.33499998	0.09	-0.08	-0.25
YDR191W	-0.31	-0.92	-0.985	-1.05
YDR192C	0.245	0.12	-0.155	-0.43
YDR193W	0.22999999	0.14	-0.17500001	-0.49
YDR194C	-0.345	-0.56	-0.55	-0.54
YDR195W	0.415	0.26	0.019999996	-0.22
YDR196C	0.105000004	0.18	0.085	-0.01
YDR197W	-0.185	0.19	0.004999995	-0.18
YDR198C	0.42	0.21	0.13	0.05
YDR199W	0.365	0.55	0.485	0.42
YDR200C	0.39	0.51	0.555	0.6
YDR201W	-0.055000007	0.22	0.17	0.12
YDR202C	0.05	0.05	-0.050000004	-0.15
YDR203W	-0.19	-0.21	-0.22	-0.23
YDR205W	0.06	0.06	0.089999996	0.12
YDR206W	0.51	0.46	0.205	-0.05
YDR207C	0.13	0.49	0.315	0.14
YDR208W	-0.20500001	-0.11	0.055	0.22
YDR209C	0.13999999	0.39	0.19999999	0.01
YDR210W	0.14500001	0.33	0.20500001	0.08
YDR211W	0.43	0.35	0.25	0.15
YDR212W	0.165	0.02	0.02	0.02
YDR213W	0.78	0.72	0.40500003	0.09
YDR214W	-0.71500003	-0.75	-0.585	-0.42
YDR215C	-0.47500002	-0.85	-0.57	-0.29
YDR216W	-0.32999998	-0.28	-0.08	0.12
YDR217C	0.47	0.31	0.23	0.15
YDR219C	0.205	0.38	0.245	0.11
YDR221W	-0.495	-0.53	-0.18499999	0.16
YDR222W	0.23500001	0.3	0.31	0.32
YDR223W	0.19	0.28	0.1	-0.08
YDR224C	0.65500003	1.84	1.8050001	1.77
YDR225W	0.30499998	1.56	1.655	1.75
YDR226W	0.055	0.17	0.28	0.39
YDR227W	0.1	0.17	0.305	0.44
YDR228C	0.285	0.22	0.285	0.35
YDR229W	0.075	0.01	0.21499999	0.42
YDR230W	-0.48000002	-0.29	-0.059999995	0.17
YDR231C	-0.615	-0.38	-0.26	-0.14
YDR232W	0.355	0.68	0.515	0.35
YDR233C	-0.56	-0.55	-0.29	-0.03
YDR234W	0.07	0.1	0.375	0.65
YDR235W	-0.25	-0.44	-0.145	0.15
YDR237W	-0.42000002	-0.41	-0.425	-0.44
YDR238C	-0.255	-0.34	-0.1	0.14
YDR240C	0.185	-0.07	-0.125	-0.18
YDR242W	-0.165	-0.15	-0.19	-0.23
YDR244W	0.155	0.1	0.2	0.3
YDR245W	-0.08	-0.05	0.050000004	0.15
YDR247W	0	0.28	0.24000001	0.2
YDR249C	-0.135	-0.18	-0.445	-0.71
YDR251W	-0.08	0.09	-0.065	-0.22
YDR252W	-0.020000003	0.23	0.21000001	0.19
YDR253C	-0.20000002	0.14	-0.005000003	-0.15
YDR254W	-0.004999995	0.3	0.13000001	-0.04
YDR255C	-0.155	0.01	-0.155	-0.32
YDR256C	0.029999997	-0.1	-0.255	-0.41
YDR257C	0.075	-0.35	-0.305	-0.26
YDR258C	-0.325	-0.41	0.07000001	0.55
YDR260C	0.43	0.25	0.08	-0.09
YDR261C	0.22999999	0.52	0.53499997	0.55
YDR262W	-0.06	-0.13	-0.049999997	0.03
YDR263C	0.11500001	0.27	0.19	0.11
YDR264C	-0.285	-0.26	-0.12499999	0.01
YDR265W	0.13	0.07	0.015000001	-0.04
YDR266C	0.205	0.07	0.095	0.12
YDR267C	-0.165	-0.27	-0.055000007	0.16
YDR268W	-0.175	0.02	0	-0.02
YDR269C	-0.47	-0.49	-0.38	-0.27
YDR270W	-0.53499997	-0.5	-0.38	-0.26
YDR271C	-0.58500004	-0.74	-0.405	-0.07
YDR272W	0.07	-0.05	-0.095	-0.14
YDR273W	0.885	0.89	0.35999998	-0.17
YDR274C	0.4	0.05	-0.195	-0.44
YDR275W	0.11	0.04	0.02	0
YDR276C	-0.78	-0.71	-0.39499998	-0.08
YDR277C	0.029999994	-0.23	-0.44	-0.65
YDR279W	0.71000004	0.8	0.445	0.09
YDR280W	0.41	0.25	0.345	0.44
YDR281C	-0.3	-0.17	-0.009999998	0.15
YDR282C	-0.205	-0.44	-0.45	-0.46
YDR284C	-0.725	-0.72	-0.29000002	0.14
YDR286C	-0.15	-0.22	-0.24	-0.26
YDR288W	0.375	0.13	-0.015000001	-0.16
YDR292C	0.31	0.2	-0.475	-1.15
YDR293C	0.32999998	0.47	0.195	-0.08
YDR294C	-0.155	0.04	0.235	0.43
YDR295C	0.225	0.16	0.074999996	-0.01
YDR296W	-0.11000001	-0.36	-0.080000006	0.2
YDR297W	0.825	1.01	0.905	0.8
YDR298C	-0.69	-0.36	0.07499999	0.51
YDR299W	0.34500003	0.36	0.33	0.3
YDR301W	0.024999999	-0.07	-0.065	-0.06
YDR302W	-0.335	-0.13	0.120000005	0.37
YDR303C	0.040000003	-0.07	-0.34	-0.61
YDR304C	-0.105	0	0.035	0.07
YDR305C	0.21000001	0.25	0.075	-0.1
YDR306C	0.08	0.02	-0.055	-0.13
YDR307W	0.095	0.29	0.044999994	-0.2
YDR308C	0.125	-0.13	-0.195	-0.26
YDR311W	0.36	0.27	0.07000001	-0.13
YDR312W	0.72999996	0.4	0.19500001	-0.01
YDR316W	0.13499999	0.16	-0.21	-0.58
YDR318W	0.14	0.27	0.21000001	0.15
YDR319C	-0.105	0.05	-0.004999999	-0.06
YDR320C	-0.13	-0.12	-0.04	0.04
YDR321W	0.22	0.25	0.245	0.24
YDR324C	0.12	0	0.08	0.16
YDR326C	-0.125	-0.19	0.005000003	0.2
YDR328C	0.39	0.43	0.26500002	0.1
YDR329C	0.22	0.2	0.14	0.08
YDR330W	-0.11	-0.16	-0.35500002	-0.55
YDR332W	0.31	0.25	0.049999997	-0.15
YDR334W	-0.16	-0.16	-0.39999998	-0.64
YDR342C	-0.78999996	-0.94	-0.515	-0.09
YDR343C	-0.87	-0.95	-0.42	0.11
YDR345C	-0.004999999	-0.13	0.13	0.39
YDR346C	0.095	0.12	0.345	0.57
YDR347W	-0.32999998	-0.53	-0.355	-0.18
YDR348C	0.29500002	0.3	0.29500002	0.29
YDR349C	0.125	0.23	0.145	0.06
YDR350C	-0.02	0.01	0.14999999	0.29
YDR351W	0.14999999	0.06	0.26	0.46
YDR352W	-0.21000001	-0.23	-0.010000005	0.21
YDR353W	0.23	0.27	0.25	0.23
YDR354W	-0.405	-0.45	-0.22	0.01
YDR355C	0.375	0.69	0.755	0.82
YDR356W	0.26	0.61	0.35000002	0.09
YDR357C	0.325	0.29	0.065	-0.16
YDR358W	-0.445	-0.51	-0.5	-0.49
YDR359C	0.165	0.18	0.18	0.18
YDR360W	0.03	-0.02	-0.165	-0.31
YDR361C	0.695	0.49	0.24000001	-0.01
YDR362C	0.245	0.46	0.120000005	-0.22
YDR363W	0.275	0.05	0	-0.05
YDR364C	0.14500001	0.15	-0.18999998	-0.53
YDR365C	1	0.84	0.45499998	0.07
YDR366C	0.32	0.26	0.31	0.36
YDR367W	-0.125	0	0.035	0.07
YDR368W	-0.415	-0.48	-0.49	-0.5
YDR369C	0.13	0.02	-0.21499999	-0.45
YDR370C	0.55	0.38	0.255	0.13
YDR371W	0.29	0.35	0.21	0.07
YDR372C	0.195	0.23	0.145	0.06
YDR373W	0.16999999	0.26	0.29500002	0.33
YDR375C	-0.395	-0.36	-0.41000003	-0.46
YDR376W	-0.020000001	0.05	-0.03	-0.11
YDR377W	-0.235	-0.03	0.005	0.04
YDR378C	-0.19	-0.1	0.025000002	0.15
YDR379W	-0.005000003	-0.18	-0.29000002	-0.4
YDR380W	-1.64	-1.76	-1.6	-1.44
YDR381W	-0.38	-0.27	-0.065000005	0.14
YDR382W	-0.565	-0.51	-0.315	-0.12
YDR383C	0.045	0.11	-0.11000001	-0.33
YDR384C	0.185	-0.06	-0.085	-0.11
YDR385W	-0.42000002	-0.35	-0.030000001	0.29
YDR386W	0.145	0.28	0.115	-0.05
YDR387C	-0.18	-0.05	-0.02	0.01
YDR388W	0.005	-0.01	-0.02	-0.03
YDR389W	0.030000001	-0.25	0.004999995	0.26
YDR390C	0.425	0.49	0.45	0.41
YDR391C	0.035000004	0.09	-0.009999998	-0.11
YDR392W	0.305	0.28	0.120000005	-0.04
YDR393W	-0.205	-0.04	0.11	0.26
YDR394W	-0.115	-0.14	-0.15	-0.16
YDR395W	0.37	0.29	0.195	0.1
YDR396W	0.795	0.66	0.31500003	-0.03
YDR397C	0.62	0.54	0.19000001	-0.16
YDR399W	1.105	0.96	0.615	0.27
YDR400W	0.155	0.34	0.235	0.13
YDR401W	-0.035	0.01	-0.045	-0.1
YDR403W	-0.035	-0.19	-0.21000001	-0.23
YDR405W	-0.285	-0.49	-0.44	-0.39
YDR407C	-0.07	0.08	-0.050000004	-0.18
YDR408C	-0.055	-0.22	-0.32999998	-0.44
YDR409W	-0.185	-0.21	-0.34	-0.47
YDR410C	-0.345	-0.37	-0.155	0.06
YDR411C	-0.64	-0.35	-0.105	0.14
YDR412W	0.58	0.32	0.22	0.12
YDR413C	0.595	0.49	0.35	0.21
YDR414C	0.075	0.2	0.23500001	0.27
YDR415C	-0.055	-0.01	0.015	0.04
YDR416W	0.16	0.07	0.035	0
YDR417C	0.114999995	0.26	0.33999997	0.42
YDR418W	0.049999997	0.16	0.25	0.34
YDR419W	0.18	0.18	0.120000005	0.06
YDR420W	0.29500002	0.33	0.385	0.44
YDR421W	-0.16499999	-0.07	-0.09	-0.11
YDR422C	0.18	0.27	0.28500003	0.3
YDR423C	0.095	0.16	0.07	-0.02
YDR424C	0.065000005	0.37	0.18	-0.01
YDR425W	0.155	0.13	0.074999996	0.02
YDR426C	0	-0.18	-0.2	-0.22
YDR427W	-0.19	-0.17	-0.04	0.09
YDR428C	-0.195	-0.22	-0.22	-0.22
YDR429C	0.57500005	0.54	0.335	0.13
YDR430C	-0.775	-0.83	-0.73	-0.63
YDR431W	-0.55	-0.61	-0.525	-0.44
YDR432W	-0.44	-0.47	-0.25	-0.03
YDR433W	-0.18	-0.21	-0.074999996	0.06
YDR434W	-0.35	-0.2	-0.040000003	0.12
YDR435C	-0.26	-0.13	-0.074999996	-0.02
YDR436W	-0.325	-0.34	-0.34	-0.34
YDR438W	-0.089999996	0.03	0.05	0.07
YDR439W	0.085	0.05	-0.155	-0.36
YDR440W	0.595	0.66	0.40500003	0.15
YDR442W	-0.05	-0.01	0.015	0.04
YDR443C	-0.01	0.01	0.024999999	0.04
YDR444W	0.185	0.27	0.42000002	0.57
YDR445C	0.39999998	0.51	0.37	0.23
YDR446W	0.085	0.08	0.085	0.09
YDR447C	0.089999996	0.19	0.19	0.19
YDR448W	0.31	0.44	0.605	0.77
YDR449C	0.695	0.5	0.445	0.39
YDR450W	-0.09	-0.22	-0.16	-0.1
YDR451C	-0.044999998	-0.01	0.495	1
YDR453C	-0.465	-0.49	-0.31	-0.13
YDR454C	-0.125	-0.13	-0.095	-0.06
YDR455C	-0.605	-0.55	-0.34	-0.13
YDR456W	-0.685	-0.75	-0.575	-0.4
YDR457W	-0.030000001	-0.17	-0.16	-0.15
YDR458C	-0.17500001	-0.15	-0.2	-0.25
YDR459C	-0.35000002	-0.37	-0.175	0.02
YDR463W	0.17	-0.16	-0.009999998	0.14
YDR464W	0.445	0.46	0.46	0.46
YDR465C	0.66999996	0.59	0.295	0
YDR467C	0.015000001	0.1	0.035	-0.03
YDR468C	0.08	0.23	0.120000005	0.01
YDR469W	0.16499999	0.35	-0.08499999	-0.52
YDR471W	0.265	0.28	0.075	-0.13
YDR472W	0.045	-0.05	0.065000005	0.18
YDR474C	-0.120000005	-0.14	-0.20500001	-0.27
YDR475C	-0.11	-0.11	-0.35	-0.59
YDR476C	-0.145	-0.04	0.035	0.11
YDR477W	-0.120000005	-0.23	-0.22	-0.21
YDR478W	-0.09	-0.15	-0.265	-0.38
YDR479C	0.02	0.14	0.07	0
YDR480W	0.14	0.12	-0.120000005	-0.36
YDR481C	0.13499999	0.11	-0.009999998	-0.13
YDR482C	-0.255	-0.26	-0.215	-0.17
YDR483W	0.125	0.18	0.22	0.26
YDR484W	-0.11	-0.13	-0.25	-0.37
YDR485C	-0.015000001	-0.1	-0.010000002	0.08
YDR486C	0.305	0.29	0.19999999	0.11
YDR487C	0.06	0.08	-0.005000003	-0.09
YDR488C	0.16	0.39	0.31	0.23
YDR489W	0.615	0.51	0.31	0.11
YDR491C	0.325	-0.16	-0.36	-0.56
YDR493W	-0.375	-0.53	-0.745	-0.96
YDR494W	-0.19	-0.27	-0.32	-0.37
YDR496C	0.80999994	0.56	0.395	0.23
YDR498C	-0.345	-0.66	-0.51	-0.36
YDR500C	-0.099999994	-0.16	-0.099999994	-0.04
YDR501W	0.21000001	0.61	0.3	-0.01
YDR502C	-0.31	-0.24	0.13499999	0.51
YDR503C	0.28500003	0.3	-0.015000001	-0.33
YDR504C	-0.405	-0.46	-0.27	-0.08
YDR505C	-0.565	-0.53	-0.17999998	0.17
YDR508C	-0.155	-0.14	0.11000001	0.36
YDR509W	0.115	0.08	0.42	0.76
YDR510W	-0.33	-0.04	0.11	0.26
YDR511W	-0.40499997	-0.53	-0.46999997	-0.41
YDR512C	0.125	0.12	-0.015000004	-0.15
YDR513W	-0.885	-0.79	-0.515	-0.24
YDR518W	0.025000002	0.17	0.125	0.08
YDR519W	-0.255	-0.31	-0.285	-0.26
YDR524C	0.005000003	-0.08	-0.115	-0.15
YDR527W	0.19999999	0.19	-0.045	-0.28
YDR528W	0.59999996	-0.08	-0.29	-0.5
YDR531W	0.19500001	0.12	-0.09	-0.3
YDR533C	-0.074999996	-0.21	-0.36999997	-0.53
YDR539W	0.055	0.04	-0.27499998	-0.59
YDR541C	0.195	0.21	-0.13	-0.47
YDR543C	-0.075	-0.23	-0.3	-0.37
YDR544C	0.145	-0.03	0.08	0.19
YDR545W	-0.41500002	-0.6	-0.38	-0.16
YEL001C	-0.19	-0.19	0.33	0.85
YEL002C	-0.215	-0.17	0.009999998	0.19
YEL003W	-0.005000001	0.04	0.14999999	0.26
YEL004W	0.035	0.06	-0.125	-0.31
YEL005C	0.095	0.13	-0.065	-0.26
YEL006W	-0.07	-0.11	0.04	0.19
YEL007W	-0.35	-0.53	-0.20499998	0.12
YEL009C	-0.47500002	-0.41	-0.22	-0.03
